Do cells use passwords in cell-state transitions? Is cell signaling sometimes encrypted?,/pubmed/31175621,Root A.,Theory Biosci. 2019 Jun 7. doi: 10.1007/s12064-019-00295-1. [Epub ahead of print],Theory Biosci.  2019,PubMed,citation,PMID:31175621,pubmed,31175621,create date:2019/06/09 | first author:Root A,
A Fractal-Based Authentication Technique Using Sierpinski Triangles in Smart Devices.,/pubmed/30736448,"Ali A, Rafique H, Arshad T, Alqarni MA, Chauhdary SH, Bashir AK.",Sensors (Basel). 2019 Feb 7;19(3). pii: E678. doi: 10.3390/s19030678.,Sensors (Basel).  2019,PubMed,citation,PMID:30736448 | PMCID:PMC6387263,pubmed,30736448,create date:2019/02/10 | first author:Ali A,
Access to mobile phone and willingness to receive mHealth services among patients with diabetes in Northwest Ethiopia: a cross-sectional study.,/pubmed/30679284,"Jemere AT, Yeneneh YE, Tilahun B, Fritz F, Alemu S, Kebede M.",BMJ Open. 2019 Jan 24;9(1):e021766. doi: 10.1136/bmjopen-2018-021766.,BMJ Open.  2019,PubMed,citation,PMID:30679284 | PMCID:PMC6347931,pubmed,30679284,create date:2019/01/27 | first author:Jemere AT,
Development of three ways molecular logic gate based on water soluble phenazine fluorescent 'selective ion' sensor.,/pubmed/30530066,"Daniel Thangadurai T, Nithya I, Rakkiyanasamy A.",Spectrochim Acta A Mol Biomol Spectrosc. 2019 Mar 15;211:132-140. doi: 10.1016/j.saa.2018.12.006. Epub 2018 Dec 4.,Spectrochim Acta A Mol Biomol Spectrosc.  2019,PubMed,citation,PMID:30530066,pubmed,30530066,create date:2018/12/12 | first author:Daniel Thangadurai T,
People infuse their passwords with autobiographical information.,/pubmed/30373450,"Taylor RJ, Garry M.",Memory. 2019 May;27(5):581-591. doi: 10.1080/09658211.2018.1539499. Epub 2018 Oct 29.,Memory.  2019,PubMed,citation,PMID:30373450,pubmed,30373450,create date:2018/10/31 | first author:Taylor RJ,
Challenges and Future Perspectives on Electroencephalogram-Based Biometrics in Person Recognition.,/pubmed/30356770,"Chan HL, Kuo PC, Cheng CY, Chen YS.",Front Neuroinform. 2018 Oct 9;12:66. doi: 10.3389/fninf.2018.00066. eCollection 2018. Review.,Front Neuroinform.  2018,PubMed,citation,PMID:30356770 | PMCID:PMC6189450,pubmed,30356770,create date:2018/10/26 | first author:Chan HL,
"Sequential displacement strategy for selective and highly sensitive detection of Zn(2+), Hg(2+) and S(2-) ions: An approach toward a molecular keypad lock.",/pubmed/30340207,"Padhan SK, Palei J, Rana P, Murmu N, Sahu SN.",Spectrochim Acta A Mol Biomol Spectrosc. 2019 Feb 5;208:271-284. doi: 10.1016/j.saa.2018.10.016. Epub 2018 Oct 15.,Spectrochim Acta A Mol Biomol Spectrosc.  2019,PubMed,citation,PMID:30340207,pubmed,30340207,create date:2018/10/20 | first author:Padhan SK,
Methodology of a new inflammatory arthritis registry: TReasure,/pubmed/30119164,"Kalyoncu U, Taşcılar EK, Ertenli Aİ, Dalkılıç HE, Bes C, Küçükşahin O, Kaşifoğlu T, Alpay Kanıtez N, Emmungil H, Kimyon G, Yaşar Bilge NŞ, Akar S, Atagündüz MP, Koca SS, Ateş A, Yazısız V, Terzioğlu E, Ersözlü ED, Tufan MA, Çınar M, Mercan R, Şahin A, et al.",Turk J Med Sci. 2018 Aug 16;48(4):856-861. doi: 10.3906/sag-1807-200.,Turk J Med Sci.  2018,PubMed,citation,PMID:30119164,pubmed,30119164,create date:2018/08/19 | first author:Kalyoncu U,
Finger-to-Heart(F2H): Authentication for Wireless Implantable Medical Devices.,/pubmed/30106744,"Zheng G, Yang W, Valli C, Qiao L, Shankaran R, Orgun MA, Mukhopadhyay SC.",IEEE J Biomed Health Inform. 2018 Aug 10. doi: 10.1109/JBHI.2018.2864796. [Epub ahead of print],IEEE J Biomed Health Inform.  2018,PubMed,citation,PMID:30106744,pubmed,30106744,create date:2018/08/15 | first author:Zheng G,
Cytocoded passwords: BioMEMS based barcoding of biological samples for user authentication in microfluidic diagnostic devices.,/pubmed/30066033,"Salles-Loustau G, Le T, Najafizadeh L, Zonouz S, Javanmard M.",Biomed Microdevices. 2018 Jul 31;20(3):63. doi: 10.1007/s10544-018-0306-4.,Biomed Microdevices.  2018,PubMed,citation,PMID:30066033,pubmed,30066033,create date:2018/08/02 | first author:Salles-Loustau G,
Adaptive Human-Machine Interactive Behavior Analysis With Wrist-Worn Devices for Password Inference.,/pubmed/29994547,"Shen C, Chen Y, Liu Y, Guan X.",IEEE Trans Neural Netw Learn Syst. 2018 Dec;29(12):6292-6302. doi: 10.1109/TNNLS.2018.2829223. Epub 2018 May 17.,IEEE Trans Neural Netw Learn Syst.  2018,PubMed,citation,PMID:29994547,pubmed,29994547,create date:2018/07/12 | first author:Shen C,
Shedding Light on Keeping People in the Dark.,/pubmed/29961268,Fallis D.,Top Cogn Sci. 2018 Jul 1. doi: 10.1111/tops.12361. [Epub ahead of print],Top Cogn Sci.  2018,PubMed,citation,PMID:29961268,pubmed,29961268,create date:2018/07/02 | first author:Fallis D,
Integrating Visual Mnemonics and Input Feedback With Passphrases to Improve the Usability and Security of Digital Authentication.,/pubmed/29718722,"Juang K, Greenstein J.",Hum Factors. 2018 Aug;60(5):658-668. doi: 10.1177/0018720818767683. Epub 2018 May 2.,Hum Factors.  2018,PubMed,citation,PMID:29718722,pubmed,29718722,create date:2018/05/03 | first author:Juang K,
Biometrics: Accessibility challenge or opportunity?,/pubmed/29565989,"Blanco-Gonzalo R, Lunerti C, Sanchez-Reillo R, Guest R.",PLoS One. 2018 Mar 22;13(3):e0194111. doi: 10.1371/journal.pone.0194111. eCollection 2018. Erratum in: PLoS One. 2018 Apr 19;13(4):e0196372. ,PLoS One.  2018,PubMed,citation,PMID:29565989 | PMCID:PMC5864003,pubmed,29565989,create date:2018/03/23 | first author:Blanco-Gonzalo R,
Molecules for security measures: from keypad locks to advanced communication protocols.,/pubmed/29487931,"Andréasson J, Pischel U.",Chem Soc Rev. 2018 Apr 3;47(7):2266-2279. doi: 10.1039/c7cs00287d.,Chem Soc Rev.  2018,PubMed,citation,PMID:29487931,pubmed,29487931,create date:2018/03/01 | first author:Andréasson J,
Evaluating authentication options for mobile health applications in younger and older adults.,/pubmed/29300736,"Grindrod K, Khan H, Hengartner U, Ong S, Logan AG, Vogel D, Gebotys R, Yang J.",PLoS One. 2018 Jan 4;13(1):e0189048. doi: 10.1371/journal.pone.0189048. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29300736 | PMCID:PMC5754080,pubmed,29300736,create date:2018/01/05 | first author:Grindrod K,
Factors Associated With Engagement With a Web-Based Lifestyle Intervention Following Provision of Coronary Heart Disease Risk: Mixed Methods Study.,/pubmed/29038095,"Usher-Smith JA, Winther LR, Shefer GS, Silarova B, Payne RA, Griffin SJ.",J Med Internet Res. 2017 Oct 16;19(10):e351. doi: 10.2196/jmir.7697.,J Med Internet Res.  2017,PubMed,citation,PMID:29038095 | PMCID:PMC5662793,pubmed,29038095,create date:2017/10/19 | first author:Usher-Smith JA,
Are participants concerned about privacy and security when using short message service to report product adherence in a rectal microbicide trial?,/pubmed/29025127,"Giguere R, Brown W III, Balán IC, Dolezal C, Ho T, Sheinfil A, Ibitoye M, Lama JR, McGowan I, Cranston RD, Carballo-Diéguez A.",J Am Med Inform Assoc. 2018 Apr 1;25(4):393-400. doi: 10.1093/jamia/ocx081.,J Am Med Inform Assoc.  2018,PubMed,citation,PMID:29025127 | PMCID:PMC5885798,pubmed,29025127,create date:2017/10/13 | first author:Giguere R,
[National Antimicrobial Resistance Surveillance System (NAMRSS) external quality assessment studies: 2011-2016].,/pubmed/28929961,"Süzük Yıldız S, Şimşek H, Çöplü N, Gülay Z; UAMDS Study Group..",Mikrobiyol Bul. 2017 Jul;51(3):247-259. doi: 10.5578/mb.57421. Turkish. ,Mikrobiyol Bul.  2017,PubMed,citation,PMID:28929961,pubmed,28929961,create date:2017/09/21 | first author:Süzük Yıldız S,
Authentication of Smartphone Users Based on Activity Recognition and Mobile Sensing.,/pubmed/28878177,"Ehatisham-Ul-Haq M, Azam MA, Loo J, Shuang K, Islam S, Naeem U, Amin Y.",Sensors (Basel). 2017 Sep 6;17(9). pii: E2043. doi: 10.3390/s17092043.,Sensors (Basel).  2017,PubMed,citation,PMID:28878177 | PMCID:PMC5620999,pubmed,28878177,create date:2017/09/08 | first author:Ehatisham-Ul-Haq M,
Prevalence of Sharing Access Credentials in Electronic Medical Records.,/pubmed/28875052,"Hassidim A, Korach T, Shreberk-Hassidim R, Thomaidou E, Uzefovsky F, Ayal S, Ariely D.",Healthc Inform Res. 2017 Jul;23(3):176-182. doi: 10.4258/hir.2017.23.3.176. Epub 2017 Jul 31.,Healthc Inform Res.  2017,PubMed,citation,PMID:28875052 | PMCID:PMC5572521,pubmed,28875052,create date:2017/09/07 | first author:Hassidim A,
A Mobile-Based Community Health Management Information System for Community Health Workers and Their Supervisors in 2 Districts of Zambia.,/pubmed/28855233,"Biemba G, Chiluba B, Yeboah-Antwi K, Silavwe V, Lunze K, Mwale RK, Russpatrick S, Hamer DH.",Glob Health Sci Pract. 2017 Sep 28;5(3):486-494. doi: 10.9745/GHSP-D-16-00275. Print 2017 Sep 27.,Glob Health Sci Pract.  2017,PubMed,citation,PMID:28855233 | PMCID:PMC5620344,pubmed,28855233,create date:2017/09/01 | first author:Biemba G,
Integrating mHealth at point of care in low- and middle-income settings: the system perspective.,/pubmed/28838302,"Wallis L, Blessing P, Dalwai M, Shin SD.",Glob Health Action. 2017 Jun;10(sup3):1327686. doi: 10.1080/16549716.2017.1327686.,Glob Health Action.  2017,PubMed,citation,PMID:28838302 | PMCID:PMC5645717,pubmed,28838302,create date:2017/08/26 | first author:Wallis L,
Indirect effect of management support on users' compliance behaviour towards information security policies.,/pubmed/28537207,"Humaidi N, Balakrishnan V.",Health Inf Manag. 2018 Jan;47(1):17-27. doi: 10.1177/1833358317700255. Epub 2017 Mar 30.,Health Inf Manag.  2018,PubMed,citation,PMID:28537207,pubmed,28537207,create date:2017/05/26 | first author:Humaidi N,
Security enhanced multi-factor biometric authentication scheme using bio-hash function.,/pubmed/28459867,"Choi Y, Lee Y, Moon J, Won D.",PLoS One. 2017 May 1;12(5):e0176250. doi: 10.1371/journal.pone.0176250. eCollection 2017.,PLoS One.  2017,PubMed,citation,PMID:28459867 | PMCID:PMC5411053,pubmed,28459867,create date:2017/05/02 | first author:Choi Y,
Time to Push: Use of Gestational Age in the Electronic Health Record to Support Delivery of Relevant Prenatal Education Content.,/pubmed/29881749,Arcia A.,EGEMS (Wash DC). 2017 Apr 20;5(2):5. doi: 10.13063/2327-9214.1281.,EGEMS (Wash DC).  2017,PubMed,citation,PMID:29881749 | PMCID:PMC5983063,pubmed,29881749,create date:2017/04/20 | first author:Arcia A,
Clinical Trial Electronic Portals for Expedited Safety Reporting: Recommendations from the Clinical Trials Transformation Initiative Investigational New Drug Safety Advancement Project.,/pubmed/28410179,"Perez RP, Finnigan S, Patel K, Whitney S, Forrest A.",JMIR Cancer. 2016 Dec 15;2(2):e16. doi: 10.2196/cancer.6701.,JMIR Cancer.  2016,PubMed,citation,PMID:28410179 | PMCID:PMC5367842,pubmed,28410179,create date:2017/04/15 | first author:Perez RP,
"Electronic Medical Records, Medical Students, and Ambulatory Family Physicians: A Multi-Institution Study.",/pubmed/28379934,"White J, Anthony D, WinklerPrins V, Roskos S.",Acad Med. 2017 Oct;92(10):1485-1490. doi: 10.1097/ACM.0000000000001673.,Acad Med.  2017,PubMed,citation,PMID:28379934,pubmed,28379934,create date:2017/04/06 | first author:White J,
"Implementation of a single sign-on system between practice, research and learning systems.",/pubmed/28352925,"Purkayastha S, Gichoya JW, Addepally SA.",Appl Clin Inform. 2017 Mar 29;8(1):306-312. doi: 10.4338/ACI-2016-10-CR-0171.,Appl Clin Inform.  2017,PubMed,citation,PMID:28352925 | PMCID:PMC5373772,pubmed,28352925,create date:2017/03/30 | first author:Purkayastha S,
Locking it down: The privacy and security of mobile medication apps.,/pubmed/28286594,"Grindrod K, Boersema J, Waked K, Smith V, Yang J, Gebotys C.",Can Pharm J (Ott). 2016 Dec 6;150(1):60-66. doi: 10.1177/1715163516680226. eCollection 2017 Jan-Feb.,Can Pharm J (Ott).  2017,PubMed,citation,PMID:28286594 | PMCID:PMC5330422,pubmed,28286594,create date:2017/03/14 | first author:Grindrod K,
Secure access to patient's health records using SpeechXRays a mutli-channel biometrics platform for user authentication.,/pubmed/28268840,"Spanakis EG, Spanakis M, Karantanas A, Marias K.",Conf Proc IEEE Eng Med Biol Soc. 2016 Aug;2016:2541-2544. doi: 10.1109/EMBC.2016.7591248.,Conf Proc IEEE Eng Med Biol Soc.  2016,PubMed,citation,PMID:28268840,pubmed,28268840,create date:2017/03/09 | first author:Spanakis EG,
One-Time Password Generation and Two-Factor Authentication Using Molecules and Light.,/pubmed/28252833,"Naren G, Li S, Andréasson J.",Chemphyschem. 2017 Jul 5;18(13):1726-1729. doi: 10.1002/cphc.201700074. Epub 2017 Mar 2.,Chemphyschem.  2017,PubMed,citation,PMID:28252833,pubmed,28252833,create date:2017/03/03 | first author:Naren G,
A Temporal Credential-Based Mutual Authentication with Multiple-Password Scheme for Wireless Sensor Networks.,/pubmed/28135288,"Liu X, Zhang R, Liu Q.",PLoS One. 2017 Jan 30;12(1):e0170657. doi: 10.1371/journal.pone.0170657. eCollection 2017.,PLoS One.  2017,PubMed,citation,PMID:28135288 | PMCID:PMC5279753,pubmed,28135288,create date:2017/01/31 | first author:Liu X,
Highly Reliable Key Generation From Electrocardiogram (ECG).,/pubmed/28113243,"Karimian N, Zimu Guo, Tehranipoor M, Forte D.",IEEE Trans Biomed Eng. 2017 Jun;64(6):1400-1411. doi: 10.1109/TBME.2016.2607020. Epub 2016 Sep 8.,IEEE Trans Biomed Eng.  2017,PubMed,citation,PMID:28113243,pubmed,28113243,create date:2017/01/24 | first author:Karimian N,
[Application of password manager software in health care].,/pubmed/28019111,Ködmön J.,Orv Hetil. 2016 Dec;157(52):2066-2073. doi: 10.1556/650.2016.30605. Hungarian. ,Orv Hetil.  2016,PubMed,citation,PMID:28019111,pubmed,28019111,create date:2016/12/27 | first author:Ködmön J,
Qualitative study of physicians' varied uses of biomedical research in the USA.,/pubmed/27872121,"Maggio LA, Moorhead LL, Willinsky JM.",BMJ Open. 2016 Nov 21;6(11):e012846. doi: 10.1136/bmjopen-2016-012846.,BMJ Open.  2016,PubMed,citation,PMID:27872121 | PMCID:PMC5128940,pubmed,27872121,create date:2016/11/23 | first author:Maggio LA,
Perfect Rainbow Tradeoff with Checkpoints Revisited.,/pubmed/27855190,Hong J.,PLoS One. 2016 Nov 17;11(11):e0166404. doi: 10.1371/journal.pone.0166404. eCollection 2016.,PLoS One.  2016,PubMed,citation,PMID:27855190 | PMCID:PMC5113958,pubmed,27855190,create date:2016/11/18 | first author:Hong J,
The End of Passwords.,/pubmed/27459565,Pogue D.,Sci Am. 2016 Aug;315(2):26. doi: 10.1038/scientificamerican0816-26. No abstract available. ,Sci Am.  2016,PubMed,citation,PMID:27459565,pubmed,27459565,create date:2016/07/28 | first author:Pogue D,
"A Miniaturized Therapeutic Chromophore for Multiple Metal Pollutant Sensing, Pathological Metal Diagnosis and Logical Computing.",/pubmed/27271817,Rout B.,Sci Rep. 2016 Jun 7;6:27115. doi: 10.1038/srep27115.,Sci Rep.  2016,PubMed,citation,PMID:27271817 | PMCID:PMC4895214,pubmed,27271817,create date:2016/06/09 | first author:Rout B,
Unfalsifiability of security claims.,/pubmed/27217574,Herley C.,Proc Natl Acad Sci U S A. 2016 Jun 7;113(23):6415-20. doi: 10.1073/pnas.1517797113. Epub 2016 May 23.,Proc Natl Acad Sci U S A.  2016,PubMed,citation,PMID:27217574 | PMCID:PMC4988610,pubmed,27217574,create date:2016/05/25 | first author:Herley C,
Postretrieval new learning does not reliably induce human memory updating via reconsolidation.,/pubmed/27114514,"Hardwicke TE, Taqi M, Shanks DR.",Proc Natl Acad Sci U S A. 2016 May 10;113(19):5206-11. doi: 10.1073/pnas.1601440113. Epub 2016 Apr 25.,Proc Natl Acad Sci U S A.  2016,PubMed,citation,PMID:27114514 | PMCID:PMC4868433,pubmed,27114514,create date:2016/04/27 | first author:Hardwicke TE,
The psychological effects of cyber terrorism.,/pubmed/28366962,"Gross ML, Canetti D, Vashdi DR.",Bull At Sci. 2016;72(5):284-291. doi: 10.1080/00963402.2016.1216502. Epub 2016 Aug 4.,Bull At Sci.  2016,PubMed,citation,PMID:28366962 | PMCID:PMC5370589,pubmed,28366962,create date:2016/01/01 | first author:Gross ML,
An Improvement of Robust Biometrics-Based Authentication and Key Agreement Scheme for Multi-Server Environments Using Smart Cards.,/pubmed/26709702,"Moon J, Choi Y, Jung J, Won D.",PLoS One. 2015 Dec 28;10(12):e0145263. doi: 10.1371/journal.pone.0145263. eCollection 2015.,PLoS One.  2015,PubMed,citation,PMID:26709702 | PMCID:PMC4699843,pubmed,26709702,create date:2015/12/29 | first author:Moon J,
Enhanced Two-Factor Authentication and Key Agreement Using Dynamic Identities in Wireless Sensor Networks.,/pubmed/26633396,"Chang IP, Lee TF, Lin TH, Liu CM.",Sensors (Basel). 2015 Nov 30;15(12):29841-54. doi: 10.3390/s151229767.,Sensors (Basel).  2015,PubMed,citation,PMID:26633396 | PMCID:PMC4721688,pubmed,26633396,create date:2015/12/04 | first author:Chang IP,
Personal Verification/Identification via Analysis of the Peripheral ECG Leads: Influence of the Personal Health Status on the Accuracy.,/pubmed/26568954,"Jekova I, Bortolan G.",Biomed Res Int. 2015;2015:135676. doi: 10.1155/2015/135676. Epub 2015 Oct 19.,Biomed Res Int.  2015,PubMed,citation,PMID:26568954 | PMCID:PMC4629057,pubmed,26568954,create date:2015/11/17 | first author:Jekova I,
Telemedicine: Development of a distance care system for pre-dialysis chronic kidney disease patients.,/pubmed/26398645,"Fernandes NM, Bastos MG, Oliveira NA, Costa Ado V, Bernardino HS.","J Bras Nefrol. 2015 Jul-Sep;37(3):349-58. doi: 10.5935/0101-2800.20150055. English, Portuguese. ",J Bras Nefrol.  2015,PubMed,citation,PMID:26398645,pubmed,26398645,create date:2015/09/24 | first author:Fernandes NM,
A Hash Based Remote User Authentication and Authenticated Key Agreement Scheme for the Integrated EPR Information System.,/pubmed/26349803,"Li CT, Weng CY, Lee CC, Wang CC.",J Med Syst. 2015 Nov;39(11):144. doi: 10.1007/s10916-015-0322-3. Epub 2015 Sep 9.,J Med Syst.  2015,PubMed,citation,PMID:26349803,pubmed,26349803,create date:2015/09/10 | first author:Li CT,
Physicians' responses to computerized drug interaction alerts with password overrides.,/pubmed/26315024,"Nasuhara Y, Sakushima K, Endoh A, Umeki R, Oki H, Yamada T, Iseki K, Ishikawa M.",BMC Med Inform Decis Mak. 2015 Aug 28;15:74. doi: 10.1186/s12911-015-0194-y. Erratum in: BMC Med Inform Decis Mak. 2016;16(1):108. ,BMC Med Inform Decis Mak.  2015,PubMed,citation,PMID:26315024 | PMCID:PMC4551528,pubmed,26315024,create date:2015/09/01 | first author:Nasuhara Y,
When Sharing Is a Bad Idea: The Effects of Online Social Network Engagement and Sharing Passwords with Friends on Cyberbullying Involvement.,/pubmed/26252928,"Meter DJ, Bauman S.",Cyberpsychol Behav Soc Netw. 2015 Aug;18(8):437-42. doi: 10.1089/cyber.2015.0081.,Cyberpsychol Behav Soc Netw.  2015,PubMed,citation,PMID:26252928,pubmed,26252928,create date:2015/08/08 | first author:Meter DJ,
Emergency medical services key performance measurement in Asian cities.,/pubmed/25932052,"Rahman NH, Tanaka H, Shin SD, Ng YY, Piyasuwankul T, Lin CH, Ong ME.",Int J Emerg Med. 2015 Apr 23;8:12. doi: 10.1186/s12245-015-0062-7. eCollection 2015.,Int J Emerg Med.  2015,PubMed,citation,PMID:25932052 | PMCID:PMC4412872,pubmed,25932052,create date:2015/05/02 | first author:Rahman NH,
"Detecting, preventing, and responding to ""fraudsters"" in internet research: ethics and tradeoffs.",/pubmed/25846043,"Teitcher JE, Bockting WO, Bauermeister JA, Hoefer CJ, Miner MH, Klitzman RL.",J Law Med Ethics. 2015 Spring;43(1):116-33. doi: 10.1111/jlme.12200.,J Law Med Ethics.  2015,PubMed,citation,PMID:25846043 | PMCID:PMC4669957,pubmed,25846043,create date:2015/04/08 | first author:Teitcher JE,
Efficient biometric authenticated key agreements based on extended chaotic maps for telecare medicine information systems.,/pubmed/25795325,"Lou DC, Lee TF, Lin TH.",J Med Syst. 2015 May;39(5):58. doi: 10.1007/s10916-015-0240-4. Epub 2015 Mar 22.,J Med Syst.  2015,PubMed,citation,PMID:25795325,pubmed,25795325,create date:2015/03/22 | first author:Lou DC,
What is the password? Female bark beetles (Scolytinae) grant males access to their galleries based on courtship song.,/pubmed/25783802,"Lindeman AA, Yack JE.",Behav Processes. 2015 Jun;115:123-31. doi: 10.1016/j.beproc.2015.03.009. Epub 2015 Mar 14.,Behav Processes.  2015,PubMed,citation,PMID:25783802,pubmed,25783802,create date:2015/03/19 | first author:Lindeman AA,
Correction.,/pubmed/25751054,[No authors listed],Cyberpsychol Behav Soc Netw. 2015 Mar;18(3):195. doi: 10.1089/cyber.2014.0179.cxn.,Cyberpsychol Behav Soc Netw.  2015,PubMed,citation,PMID:25751054,pubmed,25751054,create date:2015/03/10,
Analysis of health professional security behaviors in a real clinical setting: an empirical study.,/pubmed/25678101,"Fernández-Alemán JL, Sánchez-Henarejos A, Toval A, Sánchez-García AB, Hernández-Hernández I, Fernandez-Luque L.",Int J Med Inform. 2015 Jun;84(6):454-67. doi: 10.1016/j.ijmedinf.2015.01.010. Epub 2015 Jan 23.,Int J Med Inform.  2015,PubMed,citation,PMID:25678101,pubmed,25678101,create date:2015/02/14 | first author:Fernández-Alemán JL,
Individual differences in cyber security behaviors: an examination of who is sharing passwords.,/pubmed/25517697,"Whitty M, Doodson J, Creese S, Hodges D.",Cyberpsychol Behav Soc Netw. 2015 Jan;18(1):3-7. doi: 10.1089/cyber.2014.0179. Epub 2014 Dec 17. Erratum in: Cyberpsychol Behav Soc Netw. 2015 Mar;18(3):195. ,Cyberpsychol Behav Soc Netw.  2015,PubMed,citation,PMID:25517697 | PMCID:PMC4291202,pubmed,25517697,create date:2014/12/18 | first author:Whitty M,
